City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
9,Georgetown,MY,84.88,light rain,5.4112,100.3354,Cititel Penang
23,Praia,CV,88.34,few clouds,14.9215,-23.5087,LT Aparthotel
32,Tual,ID,80.87,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
33,Sao Filipe,CV,81.16,scattered clouds,14.8961,-24.4956,Hotel Xaguate
37,Kavieng,PG,82.62,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
42,Kavaratti,IN,81.97,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
64,Cabo San Lucas,MX,80.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
76,Victoria,HK,86.22,light rain,22.2855,114.1577,Mini Hotel Central
85,Namatanai,PG,80.26,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
90,Padang,ID,82.45,overcast clouds,-0.9492,100.3543,Mercure Padang
91,Kabalo,CD,88.65,broken clouds,-6.05,26.9167,
92,Butaritari,KI,83.08,light rain,3.0707,172.7902,Isles Sunset Lodge
102,Puerto Colombia,CO,82.49,few clouds,10.9878,-74.9547,Hotel El Emigrante
110,Cabedelo,BR,81.27,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
115,Luanda,AO,82.4,few clouds,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
120,Bhikangaon,IN,80.98,overcast clouds,21.8667,75.95,Vaishno Devi Mandir shakuntala niwas
126,Bebedouro,BR,81.82,overcast clouds,-20.9494,-48.4792,Hotel Real Garden
128,Mazagao,BR,87.85,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
132,Kampong Thum,KH,80.29,few clouds,12.7111,104.8887,Sambor Village Hotel
133,Yulara,AU,80.44,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
146,Sabang,ID,82.58,overcast clouds,5.8933,95.3214,Hotel Citra
158,Birao,CF,87.82,overcast clouds,10.2849,22.7882,
167,Basoko,CD,89.56,few clouds,1.2391,23.616,Jackyna Hotel
173,Caravelas,BR,80.71,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
175,Ladario,BR,80.69,smoke,-19.0047,-57.6017,Hotel Fazenda 4 cantos
178,Eirunepe,BR,85.01,few clouds,-6.6603,-69.8736,Atrás de você
213,Port Blair,IN,80.94,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
222,Prainha,BR,88.18,scattered clouds,-1.8,-53.48,Casa Rocha
225,Bandundu,CD,88.59,overcast clouds,-3.3167,17.3667,Coja Color
226,Hobyo,SO,81.39,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
236,Cockburn Town,TC,82.63,clear sky,21.4612,-71.1419,Osprey Beach Hotel
242,Phonhong,LA,82.22,overcast clouds,18.5007,102.4166,Manyvong Guest House
244,Boende,CD,84.18,overcast clouds,-0.2167,20.8667,
246,Gasa,PS,84.88,scattered clouds,31.5,34.4667,رابطة الفنانين الفلسطينيين
249,Fethiye,TR,80.47,clear sky,36.6217,29.1164,Club & Hotel Letoonia
253,Manavalakurichi,IN,80.69,overcast clouds,8.1333,77.3,Udaya Boys Hostel
258,Conakry,GN,89.37,scattered clouds,9.538,-13.6773,Riviera Royal Hotel
261,Derventa,BA,82.69,clear sky,44.9772,17.9103,Hotel Biser
269,Alice Springs,AU,85.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
