City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,60.96,100,20,3.44,few clouds
1,Tuatapere,NZ,-46.1333,167.6833,38.82,85,94,5.48,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,64.11,73,75,14.97,broken clouds
3,New Norfolk,AU,-42.7826,147.0587,49.71,94,20,2.75,few clouds
4,Kapaa,US,22.0752,-159.319,75.52,84,75,1.01,moderate rain
5,Dingle,PH,10.9995,122.6711,76.8,92,99,2.98,overcast clouds
6,Kodinsk,RU,58.6881,99.1844,34.5,98,100,5.91,overcast clouds
7,Tiksi,RU,71.6872,128.8694,33.93,97,100,12.12,overcast clouds
8,Busselton,AU,-33.65,115.3333,56.05,90,6,9.84,clear sky
9,Georgetown,MY,5.4112,100.3354,84.88,78,20,1.01,light rain
10,Coihaique,CL,-45.5752,-72.0662,39.81,87,90,4.61,light rain
11,Quatre Cocos,MU,-20.2078,57.7625,77.11,71,5,17.29,clear sky
12,Yeppoon,AU,-23.1333,150.7333,65.98,81,52,17.58,light rain
13,Najran,SA,17.4924,44.1277,93.85,10,8,11.99,clear sky
14,Bathsheba,BB,13.2167,-59.5167,79.41,89,75,5.75,broken clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,52.09,73,90,1.99,overcast clouds
16,Genhe,CN,50.7833,121.5167,38.98,84,13,4.43,few clouds
17,Kjollefjord,NO,70.9457,27.3465,57.02,82,75,6.91,broken clouds
18,Saint George,US,37.1041,-113.5841,72.54,55,1,1.99,clear sky
19,Klaksvik,FO,62.2266,-6.589,50.92,89,100,11.01,overcast clouds
20,Port Elizabeth,ZA,-33.918,25.5701,72.1,73,75,34.52,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,73.4,69,0,20.45,clear sky
22,Berlevag,NO,70.8578,29.0864,57.2,87,75,6.91,broken clouds
23,Praia,CV,14.9215,-23.5087,88.34,55,20,12.66,few clouds
24,Punta Arenas,CL,-53.15,-70.9167,42.91,70,0,16.11,clear sky
25,Praia Da Vitoria,PT,38.7333,-27.0667,71.76,83,90,15.21,overcast clouds
26,Fairbanks,US,64.8378,-147.7164,33.76,75,90,2.3,overcast clouds
27,Thompson,CA,55.7435,-97.8558,37.56,93,75,0.0,broken clouds
28,Kaitangata,NZ,-46.2817,169.8464,40.93,80,8,5.75,clear sky
29,Vao,NC,-22.6667,167.4833,67.46,70,2,9.17,clear sky
30,Port Alfred,ZA,-33.5906,26.891,69.69,73,27,30.29,scattered clouds
31,Hobart,AU,-42.8794,147.3294,49.05,81,0,8.05,clear sky
32,Tual,ID,-5.6667,132.75,80.87,85,100,15.37,overcast clouds
33,Sao Filipe,CV,14.8961,-24.4956,81.16,76,40,7.56,scattered clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,68.77,91,99,7.87,overcast clouds
35,Hilo,US,19.7297,-155.09,75.27,92,90,3.44,light rain
36,Harnosand,SE,62.6323,17.9379,60.82,77,25,13.2,scattered clouds
37,Kavieng,PG,-2.5744,150.7967,82.62,74,42,8.01,scattered clouds
38,Tuktoyaktuk,CA,69.4541,-133.0374,27.3,85,91,13.4,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,23.31,64,100,6.96,overcast clouds
40,Darhan,MN,49.4867,105.9228,39.65,78,9,4.36,clear sky
41,Chicama,PE,-7.8447,-79.1469,57.74,79,48,4.94,scattered clouds
42,Kavaratti,IN,10.5669,72.642,81.97,78,100,19.55,overcast clouds
43,Barrow,US,71.2906,-156.7887,28.42,86,90,11.5,overcast clouds
44,Urengoy,RU,65.9667,78.3667,36.37,78,18,6.89,few clouds
45,Anchorage,US,61.2181,-149.9003,36.28,86,1,3.0,clear sky
46,Viedma,AR,-40.8135,-62.9967,55.09,35,0,14.47,clear sky
47,Atuona,PF,-9.8,-139.0333,77.56,72,65,20.18,broken clouds
48,Kruisfontein,ZA,-34.0033,24.7314,69.89,79,100,25.5,overcast clouds
49,Allapalli,IN,19.4167,80.0667,74.41,95,100,11.32,light rain
50,Narsaq,GL,60.9167,-46.05,28.62,31,0,5.35,clear sky
51,Kalmar,SE,56.6616,16.3616,62.15,78,0,13.8,clear sky
52,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,5.75,light intensity shower rain
53,Hermanus,ZA,-34.4187,19.2345,62.91,72,100,10.07,overcast clouds
54,Torbay,CA,47.6666,-52.7314,61.29,97,90,24.16,moderate rain
55,Mataura,NZ,-46.1927,168.8643,38.48,91,16,2.86,few clouds
56,Bredasdorp,ZA,-34.5322,20.0403,58.28,88,100,11.5,overcast clouds
